A,Mean,Error
Protein,0.9539280236673519,0.18318274393399955
CO2,8.539852942614733,0.4418523136127882
Organic,3.029754195710052,0.4442950178699744
Glycolysis,28.377860497106845,1.3859682257419035
PPP,39.4936204510707,1.7686590013986745
AA,2.6678386915766485,0.29823691161849103
Energy,0,0
Other,16.0595504944482,0.8855237533538686
