mRNA (nM)	GFP (μM)
0	0
576.994982	6.139238845
396.4637358	9.664041995
283.319224	9.916666667
100.3064699	10.40354331
0	0
100.6454051	0.517760744
86.17701958	1.21260495
29.53294956	1.800751942
19.38292912	0.763863235
