hk: GLC -> G6P	pgi: G6P <-> F6P	pfk: F6P -> F16P	fbaA: F16P <-> GAP + DHAP	zwf: G6P -> 6PG	gnd: 6PGC -> RL5P	eno: 2PG -> PEP	pyk: PEP -> PYR	pdh: PYR -> ACA	ldh: PYR -> LAC	gltA: ACA + OAA -> CIT 	idh: ICIT -> aKG	akgdh: aKG -> SUCCOA	gdh: GLU <-> aKG	scs: SUCCOA <-> SUCC	sdh: SUCC -> FUM	fum: FUM <-> MAL	mdh: MAL <-> OAA	ppc: PEP -> OAA
16.51061173	8134.586143	7564.507636	474.4335122	272.4303554	238.1519967	157.1505543	73.22933333	176.5783775	75.45154542	278.7508846	1723.367029	529.0779432	16.18679953	14013.25345	153.4467714	285.2807284	6154.896422	21.36549735
4.456928839	11950.19403	10209.75952	567.7921884	343.9481268	150.8557457	151.0931068	54.582	76.7324671	61.18329945	401.9815994	706.9185243	534.9088955	12.9015797	8507.625272	117.1029669	4.531276345	5782.956685	18.82373991
2.961190739	126.2595197	863.889326	45.28290341	34.00739182	2.992197863	1.611139637	1.869603651	23.51792088	2.215842363	31.43709777	497.8380163	28.95600749	0.280517007	2312.468905	3.652499617	30.35434799	252.6661186	2.674788983
2.634532644	1496.640248	380.0995622	17.33005365	48.58515277	31.74951314	5.299667149	2.085116862	10.93104237	3.028081882	66.93600197	224.8352815	83.7570064	0.617003345	618.983015	4.491826314	2.031483592	403.4466335	2.243650696
