hk: GLC -> G6P	pgi: G6P <-> F6P	pfk: F6P -> F16P	fbaA: F16P <-> GAP + DHAP	zwf: G6P -> 6PG	gnd: 6PGC -> RL5P	eno: 2PG -> PEP	pyk: PEP -> PYR	pdh: PYR -> ACA	ldh: PYR -> LAC	gltA: ACA + OAA -> CIT 	idh: ICIT -> aKG	akgdh: aKG -> SUCCOA	gdh: GLU <-> aKG	scs: SUCCOA <-> SUCC	sdh: SUCC -> FUM	fum: FUM <-> MAL	mdh: MAL <-> OAA	ppc: PEP -> OAA
24.20932168	8501.222668	10076.35598	338.1534486	314.9855908	234.6984515	151.3085844	82.396	136.7718918	61.52214267	284.9433829	2079.283307	830.0198744	12.6781277	12358.3878	125.7417103	444.7395043	5661.644696	43.85189395
24.55680399	14056.41303	9104.499445	465.6131982	434.9743836	179.2685412	153.317702	85.70883333	94.084902	80.99089543	308.7402689	4865.215138	556.0730931	18.0695015	5971.314452	89.68877254	78.57022426	5832.757899	61.80733163
5.485617709	555.7930275	2017.704961	42.82090614	83.74882234	16.55930286	4.432819718	3.300663998	17.38755542	3.387847649	38.59077822	459.6691135	115.5666341	1.097268192	2514.028115	7.691886701	37.75055707	588.8952296	1.678610415
6.166292559	1362.056327	1938.780082	22.01497438	52.20179869	2.174942848	0.65661494	3.942701868	17.66586961	4.249117044	121.4769565	742.285922	92.97554065	0.513845545	1243.346072	6.767201835	18.67613015	800.3247852	3.995874728
