mRNA (nM)	GFP (μM)
0	0
575.2173316	6.284153543
579.6046857	11.18208661
574.3104175	16.52854331
553.7308772	21.29625984
0	0
14.16212314	1.044955052
30.18104085	0.900979865
62.4419207	0.598141024
55.16405898	1.561090334
